"id","keyword_value","keyword_tag_id"
556,"mac os",5
557,"machine learning",7
558,"magento",5
559,"mahout",5
560,"management",7
561,"marmalade",5
562,"matlab",6
563,"maven",5
564,"mean",7
565,"memsql",5
566,"mern",7
567,"metamask",5
568,"meteor",8
569,"mevn",7
570,"microsoft access",5
571,"microsoft power bi",5
572,"microsoft sql server",5
573,"microsoft windows",5
574,"middleware",5
575,"mist",5
576,"mixamo",5
577,"mlflow",5
578,"mlops",7
579,"mlpack",5
580,"mobile angular ui",8
581,"mobincube",5
582,"mojolicious",8
583,"mongodb",5
584,"monogame",8
585,"ms access",5
586,"ms dos",5
587,"ms excel",5
588,"ms exchange",5
589,"ms sql",5
590,"ms windows",5
591,"ms word",5
592,"ms.net",5
593,"msxml",5
594,"multitask",7
595,"multitasking",7
596,"multithread",7
597,"multithreading",7
598,"mvc",8
599,"mvc 4",8
600,"mvc 5",8
601,"mvp",7
602,"mvs",5
603,"mvvm",7
604,"my sql workbench",5
605,"mysql",7
606,"nat",7
607,"nativescript",8
608,"neo4j",5
609,"netapp",5
610,"netbeans",5
611,"netcdf",7
612,"nethereum",8
613,"netiq",7
614,"netsuite",5
615,"netware",5
616,"network",7
617,"network programming",7
618,"networking",7
619,"next.js",8
620,"nginx",5
621,"nlp",7
622,"nmap",5
623,"node",7
624,"node.js",8
625,"nodejs",8
626,"nosql",7
627,"ntservers",5
628,"numba",8
629,"nxt-g",5
630,"oauth",5
631,"objection.js",5
632,"objectionjs",5
633,"objective-c",6
634,"objectivesql",8
635,"odoo",7
636,"office",5
637,"office365",5
638,"oim",5
639,"olap",5
640,"oltp",7
641,"omb",5
642,"oms",5
643,"onsen ui",8
644,"oop",7
645,"open nn",8
646,"openam",8
647,"opencl",8
648,"opencv",7
649,"opengl",5
650,"oracle",8
651,"oracle autonomous warehouse",5
652,"oracle rdbms",5
653,"oracle7",7
654,"oracle8",7
655,"oracle8i",7
656,"oracle9",7
657,"oracle9i",7
658,"oraclexml",5
659,"orange3",5
660,"orient db",5
661,"orm",7
662,"os",7
663,"osi",7
664,"paas",7
665,"parity",7
666,"pascal",6
667,"payjunction",5
668,"paymotion",5
669,"payoneer",5
670,"paypal",5
671,"paysimple",5
672,"paytm",5
673,"perl",6
674,"phaser",5
675,"photoshop",5
676,"php",6
677,"phpcms",7
678,"phpmyadmin",5
679,"pl/sql",5
680,"pop3",7
681,"populus",5
682,"postgres",7
683,"postgresql",7
684,"postgressql",7
685,"postman",5
686,"postscript",6
687,"powerbi",5
688,"powershell",5
689,"ppoe",7
690,"prediction",7
691,"prolog",6
692,"prototype",7
693,"prototyping",7
694,"prysm",5
695,"pure data",7
696,"pusher",5
697,"putty",5
698,"pycharm",5
699,"pyethereum",8
700,"pygame",8
701,"pylons",8
702,"pyqt",5
703,"pyspark",8
704,"python",6
705,"pytorch",8
706,"qa",7
707,"qlik",5
708,"qos",7
709,"qtp",7
710,"quality assurance",7
711,"quixel bridge",5
712,"r",6
713,"r&d",7
714,"rabbitmq",5
715,"raspberry pi",5
716,"ravendb",7
717,"rdbms",7
718,"rdlc",7
719,"react",8
720,"react native",8
721,"react.js",8
722,"reactjs",8
723,"reconfiguration",7
724,"redhat",7
725,"redshift",5
726,"redux",8
727,"remix ide",5
728,"rest",7
729,"rest 8",8
730,"restapi",8
731,"restful",8
732,"robomongo",5
733,"ror",6
734,"rpg maker",5
735,"rsa",7
736,"rstudio",5
737,"rtp",7
738,"ruby",6
739,"ruby on rails",6
740,"rust",6
741,"s3",5
742,"salesforce",5
743,"saml",6
744,"sandbox",5
745,"sap",5
746,"sap data warehouse cloud",5
747,"sap sybase ase",5
748,"sas",7
749,"scala",6
750,"scalegrid",5
751,"sccm",7
752,"scikit-learn",8
753,"scipy",8
754,"scm",7
755,"scom",7
756,"scripting",7
757,"scrum",7
758,"scsi",5
759,"scylladb",7
760,"sdk",5
761,"sdlcs",7
762,"selenium",5
763,"selenium web driver",5
764,"seo",7
765,"sequel pro",5
766,"sequelize",7
767,"server",5
768,"servlet",7
769,"servlets",7
770,"sftp",7
771,"sha",7
772,"sharepoint",5
773,"shell",5
774,"shellscript",5
775,"shellscripting",7
776,"shopify",8
777,"siebel",7
778,"sila",7
779,"silex",7
780,"simula",5
781,"siprnet",7
782,"sitebuilder",5
783,"sitecore",5
784,"sklearn",8
785,"skrill",7
786,"sla",7
787,"slaframework",8
788,"smart contracts",7
789,"smtp",7
790,"snapmanager",5
791,"snowflake",5
792,"soapui",5
793,"software assessment",7
794,"software assessment management",5
795,"software development",7
796,"software production",7
797,"software production management",7
798,"software testing",7
799,"solar2d",5
800,"solaris",6
801,"solaris10",5
802,"solaris8",5
803,"solaris9",5
804,"solarwinds",5
805,"solc",5
806,"solidity",6
807,"sop",7
808,"sops",7
809,"soql",7
810,"spacy",5
811,"spark",8
812,"spatialos",5
813,"speedtree",5
814,"spreedly",5
815,"springboot",8
816,"spritkit",5
817,"spss",7
818,"spyder",5
819,"sqa",7
820,"sql",7
821,"sql developer",7
822,"sql sentry",5
823,"sql server",5
824,"sql server management studio",5
825,"sql+.net",5
826,"sqlalchemy",5
827,"sqlite",7
828,"sqlyog",5
829,"sqr",6
830,"squarespace",5
831,"srs",7
832,"saas",7
833,"ssis",7
834,"ssl",7
835,"ssp",7
836,"ssrs",7
837,"stackby",5
838,"stata",5
839,"stencyl",5
840,"stlc",7
841,"stp",7
842,"stripe",5
843,"subnetting",7
844,"sugar orm",5
845,"sunos",5
846,"swift",6
847,"swiftic",5
848,"symantec",5
849,"symfony",8
850,"synchronization",7
851,"tableau",5
852,"tableplus",5
853,"tcl",6
854,"tcp",7
855,"tcp/ip",7
856,"tcpip",7
857,"teamdesk",5
858,"tencent engine",8
859,"tensorflow",8
860,"teradata",5
861,"tex",5
862,"theano",8
863,"titanium",5
864,"tk",5
865,"tkinter",5
866,"toad",5
867,"truffle",5
868,"tsql",7
869,"turbogears",8
870,"typescript",6
871,"typo3",5
872,"ubuntu",5
873,"ui",7
874,"ui/ux",7
875,"uml",7
876,"unity",5
877,"unix",5
878,"unreal engine",8
879,"urban airship",5
880,"user testing",7
881,"ux",7
882,"vaadin",5
883,"vb",7
884,"vb basic .net",6
885,"vb.net",6
886,"vba",7
887,"vbscript",6
888,"vdi",7
889,"vdm",7
890,"verilog",6
891,"vhdl",6
892,"visio",5
893,"visual basic .net",6
894,"visualstudio.net",5
895,"vlan",7
896,"vmd",7
897,"vms",5
898,"voip",5
899,"vpn",5
900,"vps",7
901,"vue.js",8
902,"vuejs",8
903,"vuforia",5
904,"vyper",6
905,"wan",7
906,"wap",6
907,"wap/wml",6
908,"web3",8
909,"web3.js",6
910,"web3j",5
911,"webgui",5
912,"webmoney",5
913,"websphere",5
914,"weebly",5
915,"weka",5
916,"wepay",5
917,"win32",5
918,"winjs",5
919,"winpython",5
920,"wireshark",5
921,"wix",5
922,"wlan",7
923,"wml",6
924,"wms",5
925,"wordpress",7
926,"workflow",7
927,"workflows",7
928,"worldpay",5
929,"wsdl",6
930,"x\++",6
931,"xamarin",5
932,"xaml",6
933,"xcode",5
934,"xhtml",6
935,"xml",6
936,"xmlrpc",5
937,"xsl",6
938,"yola",5
939,"python developer",7
940,".net developer",7
941,"ios developer",7
942,"android developer",7
943,"django developer",7
944,"web developer",7
945,"blockchain developer",7
946,"game developer",7
947,"flutter developer",7
948,"mobile application developer",7
949,"user acceptance testing",7
950,"software testers",7
